actiontype,ismydoc,ext,sessionid,documentposition,datetime
OPEN,FALSE,PDF,9400fd2e43d7dc2d054ca78806236ee1,LOCALSTORAGE,2016.7.18
CLOSE,FALSE,PDF,9400fd2e43d7dc2d054ca78806236ee1,LOCALSTORAGE,2016.7.18
OPEN,TRUE,PDF,9400fd2e43d7dc2d054ca78806236ee1,MYPOLARISDRIVE,2016.7.18
CLOSE,TRUE,PDF,9400fd2e43d7dc2d054ca78806236ee1,MYPOLARISDRIVE,2016.7.18
OPEN,FALSE,PDF,f191063c562691041dfa935ff0876975,OTHERAPP,2016.7.6
RESET,TRUE,PDF,f191063c562691041dfa935ff0876975,OTHERAPP,2016.7.6
CLOSE,FALSE,PDF,3747719d8f6bdd334703320433928d5a,OTHERAPP,2016.7.20
OPEN,FALSE,PDF,3747719d8f6bdd334703320433928d5a,OTHERAPP,2016.7.20
OPEN,FALSE,PDF,3da5ab986c93803de1e25012d9972274,OTHERAPP,2016.7.28
CLOSE,FALSE,PDF,3da5ab986c93803de1e25012d9972274,OTHERAPP,2016.7.28
OPEN,TRUE,PDF,3da5ab986c93803de1e25012d9972274,OTHERAPP,2016.7.28
OPEN,FALSE,PDF,9e37751e132b5eb96e7d3fde7db132e3,OTHERAPP,2016.7.19
CLOSE,FALSE,PDF,9e37751e132b5eb96e7d3fde7db132e3,OTHERAPP,2016.7.19
RESET,TRUE,PDF,9e37751e132b5eb96e7d3fde7db132e3,OTHERAPP,2016.7.19
OPEN,TRUE,PDF,450e74586e6a05f2983905205e8f8cb1,MYPOLARISDRIVE,2016.7.24
CLOSE,TRUE,PDF,450e74586e6a05f2983905205e8f8cb1,MYPOLARISDRIVE,2016.7.24
OPEN,FALSE,PDF,202c847b75c9920eb51337b1d5181e10,OTHERAPP,2016.7.24
RESET,TRUE,HWP,897f9d042720251e2d08bfefc3bd6ec9,OTHERAPP,2016.7.11
OPEN,FALSE,HWP,897f9d042720251e2d08bfefc3bd6ec9,OTHERAPP,2016.7.11
RESET,TRUE,XLSX,897f9d042720251e2d08bfefc3bd6ec9,OTHERAPP,2016.7.11
OPEN,FALSE,XLSX,897f9d042720251e2d08bfefc3bd6ec9,OTHERAPP,2016.7.11
CLOSE,FALSE,HWP,897f9d042720251e2d08bfefc3bd6ec9,OTHERAPP,2016.7.11
CLOSE,FALSE,PDF,7a6aa42733f82e72e6202ddf942eee32,OTHERAPP,2016.7.22
RESET,TRUE,PDF,7a6aa42733f82e72e6202ddf942eee32,OTHERAPP,2016.7.22
